Model,Precision,Recall,NDCG
Euclidean,0.06535947712418301,0.04169000933706816,0.06342430123551722
Cosine,0.0522875816993464,0.03496732026143791,0.0542227575880122
Random by Artist,0.3986928104575165,0.21468253968253972,0.4219527538268759
Random,0.0,0.0,0.0
