Model,Precision,Recall,NDCG
Euclidean,0.047058823529411764,0.0472922502334267,0.054790249106694326
Cosine,0.039215686274509796,0.043790849673202605,0.0483334150300173
Random by Artist,0.32156862745098036,0.28944911297852477,0.37142610437267964
Random,0.00392156862745098,0.00392156862745098,0.0041958091124417165
