Model,Precision,Recall,NDCG
Euclidean,0.17647058823529407,0.17131185807656393,0.18827686218989093
Cosine,0.2705882352941176,0.2532679738562091,0.30842217390820176
Random by Artist,0.3372549019607842,0.3017740429505136,0.3828936137139153
Random,0.01568627450980392,0.011974789915966387,0.019237627440729387
