Model,Precision,Recall,NDCG
Euclidean,0.1895424836601307,0.11190476190476192,0.18687688772504402
Cosine,0.3202614379084967,0.17803454715219416,0.33431983763035134
Random by Artist,0.39869281045751637,0.21743697478991603,0.4219527538268759
Random,0.0,0.0,0.0
