Model,Precision,Recall,NDCG
Euclidean,0.04117647058823531,0.0839169000933707,0.07163779176072482
Cosine,0.03529411764705883,0.07163865546218487,0.06261839446330357
Random by Artist,0.21372549019607834,0.37173202614379075,0.3816508970139647
Random,0.00392156862745098,0.0067226890756302525,0.003702180855235909
