Model,Precision,Recall,NDCG
Euclidean,0.08104575163398693,0.23027544351073762,0.20897125146552764
Cosine,0.12287581699346412,0.34262371615312787,0.3308852921730511
Random by Artist,0.15163398692810456,0.39220354808590097,0.4033664943350871
Random,0.00261437908496732,0.00980392156862745,0.0045499010870313165
