Model,Precision,Recall,NDCG
Euclidean,0.03529411764705882,0.10583566760037351,0.08166461174494949
Cosine,0.03006535947712418,0.08900560224089636,0.070631115104561
Random by Artist,0.15032679738562094,0.3892857142857143,0.40261056337453793
Random,0.00130718954248366,0.004901960784313725,0.0019136276960397141
