Model,Precision,Recall,NDCG
Euclidean,0.10980392156862745,0.2109010270774976,0.1995812887662936
Cosine,0.16862745098039209,0.3130018674136321,0.3174475031797763
Random by Artist,0.21176470588235285,0.3678104575163398,0.388090844024724
Random,0.00392156862745098,0.008169934640522875,0.005074681818672866
